,subject_uuid,lab_name,subject_project,session_date,subject_nickname,sex,subject_birth_date,avg_weight,total_water,watertype,weekend_water_regime
31,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-09-12,KS019,F,2019-04-30,19.399999618530273,1.3420000076293945,Water 10% Sucrose,restr
32,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-09-13,KS019,F,2019-04-30,20.100000381469727,0.7741000149399042,Water; Water 10% Sucrose,restr
33,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-09-16,KS019,F,2019-04-30,20.200000762939453,1.0648000240325928,Water 10% Sucrose,restr
34,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-09-17,KS019,F,2019-04-30,20.0,1.677899956703186,Water 10% Sucrose,restr
35,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-09-18,KS019,F,2019-04-30,20.0,1.7740000486373901,Water 10% Sucrose,restr
36,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-09-19,KS019,F,2019-04-30,20.0,1.3619999885559082,Water 10% Sucrose,restr
37,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-09-20,KS019,F,2019-04-30,20.200000762939453,1.4763000011444092,Water 10% Sucrose,restr
38,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-09-23,KS019,F,2019-04-30,20.200000762939453,1.5155999660491943,Water 10% Sucrose,restr
39,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-09-24,KS019,F,2019-04-30,20.5,1.2172000408172607,Water 10% Sucrose,restr
40,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-09-25,KS019,F,2019-04-30,20.299999237060547,1.1714999675750732,Water 10% Sucrose,restr
41,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-09-26,KS019,F,2019-04-30,20.100000381469727,1.4730000495910645,Water 10% Sucrose,restr
42,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-09-27,KS019,F,2019-04-30,20.600000381469727,1.1460000276565552,Water 10% Sucrose,restr
43,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-09-30,KS019,F,2019-04-30,20.799999237060547,1.1775000095367432,Water 10% Sucrose,restr
44,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-10-01,KS019,F,2019-04-30,20.700000762939453,1.159500002861023,Water 10% Sucrose,restr
45,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-10-02,KS019,F,2019-04-30,20.899999618530273,0.800000011920929,Water,restr
46,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-10-04,KS019,F,2019-04-30,21.100000381469727,1.0709999799728394,Water 10% Sucrose,restr
47,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-10-07,KS019,F,2019-04-30,21.399999618530273,1.2120000123977661,Water 10% Sucrose,restr
48,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-10-08,KS019,F,2019-04-30,21.299999237060547,1.2990000247955322,Water 10% Sucrose,restr
49,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-10-09,KS019,F,2019-04-30,21.200000762939453,0.8999999761581421,Water,restr
50,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-10-10,KS019,F,2019-04-30,21.799999237060547,1.4190000295639038,Water 10% Sucrose,restr
51,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-10-11,KS019,F,2019-04-30,21.600000381469727,1.5360000133514404,Water 10% Sucrose,restr
52,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-10-14,KS019,F,2019-04-30,23.399999618530273,1.1655000448226929,Water 10% Sucrose,restr
53,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-10-15,KS019,F,2019-04-30,22.899999618530273,0.9194999933242798,Water 10% Sucrose,restr
54,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-10-16,KS019,F,2019-04-30,23.0,0.8999999761581421,Water,restr
55,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-10-17,KS019,F,2019-04-30,22.700000762939453,1.284000039100647,Water 10% Sucrose,restr
56,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-10-18,KS019,F,2019-04-30,22.799999237060547,1.2105000019073486,Water 10% Sucrose,restr
57,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-10-21,KS019,F,2019-04-30,22.799999237060547,1.187999963760376,Water 10% Sucrose,restr
58,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-10-22,KS019,F,2019-04-30,22.5,1.2795000076293945,Water 10% Sucrose,restr
59,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-10-23,KS019,F,2019-04-30,22.299999237060547,0.8999999761581421,Water 15% Sucrose,restr
60,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-10-24,KS019,F,2019-04-30,22.100000381469727,1.3320000171661377,Water 10% Sucrose,restr
61,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-10-25,KS019,F,2019-04-30,22.0,1.4550000429153442,Water 10% Sucrose,restr
62,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-10-28,KS019,F,2019-04-30,21.799999237060547,0.8899999856948853,Water,restr
63,00778394-c956-408d-8a6c-ca3b05a611d5,cortexlab,ibl_neuropixel_brainwide_01,2019-10-29,KS019,F,2019-04-30,21.700000762939453,1.2600000463426113,Water 10% Sucrose,restr
