,subject_uuid,lab_name,subject_project,days_to_trained,subject_nickname,sex,subject_birth_date,institution_short,date_trained,weekend_water_regime,mouse,perf_easy,n_trials,rt,threshold,bias,lapse_low,lapse_high,lapse
85,9a131c3b-3f44-49d9-b943-7fe13e2dc838,wittenlab,ibl_neuropixel_brainwide_01,19.0,ibl_witten_20,M,2019-11-13,Princeton,2020-03-18,restr,ibl_witten_20,91.19638826185101,680.0,0.5224000000000615,11.86030881700992,5.828538688673105,0.15291206225974213,0.08217741661401062,0.11754473943687638
86,9a46fcfa-81cf-4742-87c0-bb95f90d5913,cortexlab,ibl_neuropixel_brainwide_01,4.0,KS015,M,2019-04-30,UCL,2019-08-10,restr,KS015,90.2439024390244,479.0,0.44050049999998464,16.30653214746218,6.6663346836648785,0.12891414642709903,0.06957555634292496,0.09924485138501199
87,9b471b07-5903-4baa-b56d-368d385c850c,danlab,ibl_neuropixel_brainwide_01,23.0,DY_005,M,2018-12-05,Berkeley,2019-06-11,restr,DY_005,91.55844155844156,471.0,0.7801020000001699,15.746767547134306,-9.43394949087622,0.015894206821272877,0.15069819988181365,0.08329620335154327
88,9bebfe0b-082e-4d66-aca7-fae29317f708,churchlandlab,ibl_neuropixel_brainwide_01,15.0,CSHL049,M,2019-08-06,CSHL,2019-11-26,CA,CSHL049,96.1630695443645,712.6666666666666,0.3248509999999669,18.58471176053992,13.643699364830887,0.05189378645869228,0.05331098207373593,0.05260238426621411
89,a44a4d9d-c0ea-447e-801e-6215e05072ea,mrsicflogellab,ibl_neuropixel_brainwide_01,11.0,SWC_023,M,2019-06-18,SWC,2019-09-20,restr,SWC_023,87.10691823899371,788.0,0.40465000000003215,10.887945195852431,1.096793432855056,0.19334774455245296,0.07196241773992293,0.13265508114618796
90,a9421832-3e50-4ace-9571-437fd2d7ac8e,mrsicflogellab,ibl_neuropixel_brainwide_01,26.0,IBL_002,F,2019-01-09,SWC,2019-05-22,restr,IBL_002,95.26184538653366,648.3333333333334,0.51949999999988,20.006523496509235,-6.898752720387178,0.033832530920921394,0.07818190425343441,0.0560072175871779
91,a96219e4-7f82-4572-bb38-83b84c5706ab,mainenlab,ibl_neuropixel_brainwide_01,33.0,ZM_2106,M,2019-06-10,CCU,2019-11-21,CA,ZM_2106,86.41390205371248,976.3333333333334,0.3141009999999369,12.666616140636375,-15.205458989793872,0.09010758680720068,0.18357890800322096,0.1368432474052108
92,ac6a0b24-026d-4e14-9fc1-c35db7ce9cd1,mrsicflogellab,ibl_neuropixel_brainwide_01,24.0,SWC_018,F,2019-05-07,SWC,2019-09-26,restr,SWC_018,92.22222222222223,421.0,0.51445050000018,14.550197146141844,7.066858021127736,0.12796084091965634,0.0472065625406689,0.08758370173016262
93,ac7dfc1e-0c3c-4a83-a52b-c16fd6ec0a94,churchlandlab,ibl_neuropixel_brainwide_01,13.0,CSHL_005,M,2018-11-20,CSHL,2019-03-18,CA,CSHL_005,95.65943238731218,917.0,0.3031999999998334,11.589235358661334,2.8364629822325327,0.09911624025197183,0.020479017830468273,0.059797629041220046
94,aca644d4-e7a0-4e67-95e1-342c2db95bc8,mrsicflogellab,ibl_neuropixel_brainwide_01,53.0,SWC_030,F,2019-08-16,SWC,2020-02-24,restr,SWC_030,88.44339622641509,657.0,0.7492004999998585,15.619955806801633,10.762486603060069,0.15006911065865178,0.1114253129370473,0.13074721179784954
95,adf9e948-262f-4fa0-84c6-85dae8a384b3,zadorlab,ibl_neuropixel_brainwide_01,8.0,CSH_ZAD_006,M,2019-05-06,CSHL,2019-09-05,CA,CSH_ZAD_006,97.08609271523179,495.0,0.5073010000000977,13.520885605512731,-2.589697589795055,0.018963068866368296,0.04813148722272136,0.033547278044544826
96,b04fd8a4-1ba4-4bc2-9593-238386281a6c,churchlandlab,ibl_neuropixel_brainwide_01,45.0,CSHL045,M,2019-08-06,CSHL,2020-01-16,CA,CSHL045,97.20930232558139,1057.3333333333333,0.35330100000010134,18.806330448985896,-0.5602648733484796,0.015110028739120207,0.04184742777722998,0.028478728258175094
97,b4cb0a93-4975-4a2d-aa12-94461d457594,angelakilab,ibl_neuropixel_brainwide_01,17.0,NYU-12,F,2019-08-27,NYU,2019-11-25,CA,NYU-12,88.17204301075269,1198.3333333333333,0.38150100000075327,17.887331982971318,-6.438922124398619,0.19939694764074833,0.03143115190859781,0.11541404977467307
98,b55c97f2-1024-4b16-9774-2d9049942f98,mainenlab,ibl_neuropixel_brainwide_01,20.0,ZM_2241,F,2019-08-12,CCU,2019-12-17,CA,ZM_2241,94.83282674772036,995.6666666666666,0.3472510000001421,19.42601748016907,4.800976648532404,0.016006253391611117,0.09607692392489278,0.05604158865825195
99,b57c1934-f9d1-4dc4-a474-e2cb4acdf918,cortexlab,ibl_neuropixel_brainwide_01,15.0,KS022,M,2019-06-25,UCL,2019-10-17,restr,KS022,89.59537572254335,563.6666666666666,0.40250050000003057,10.075238302589895,1.9941112093080595,0.1471963422828535,0.09094250185300667,0.11906942206793009
100,bbcaba58-d8e8-40b9-8f2f-01697cfe754d,cortexlab,ibl_neuropixel_brainwide_01,33.0,KS005,F,2018-12-04,UCL,2019-05-14,restr,KS005,95.07494646680942,1434.3333333333333,0.2800000000000047,17.876712540006007,-11.154736365089764,0.020913207422943912,0.11370301961110826,0.06730811351702609
101,bc381af7-631d-4ed0-95f9-8231c830158a,danlab,ibl_neuropixel_brainwide_01,6.0,DY_001,M,2018-11-30,Berkeley,2019-03-11,restr,DY_001,91.54518950437318,410.3333333333333,0.45885150000003705,13.566371213475028,-13.993458753538782,0.048960830542144805,0.11177996635430451,0.08037039844822466
102,bc7dbe81-1c5d-41a3-afeb-82e61b6abf94,cortexlab,ibl_neuropixel_brainwide_01,37.0,KS018,F,2019-04-30,UCL,2019-10-11,restr,KS018,89.01515151515152,401.3333333333333,0.6767505000000256,16.34831221774282,-14.36381957300281,0.029964953893590697,0.18585749003445756,0.10791122196402413
