,subject_uuid,session_date,subject_nickname,sex,subject_birth_date,ear_mark,subject_line,subject_source,protocol_number,subject_description,subject_ts,subject_strain,avg_weight,session_day,condition
0,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-08-06,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.9973609977163801,0,1
1,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-08-07,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.9950860301622652,1,1
2,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-08-08,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0000909761382077,2,1
3,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-08-09,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0098734928329107,3,1
4,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-08-10,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.9975885031502365,4,1
5,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-08-11,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0920010885894185,5,2
6,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-08-12,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.137501133947311,6,2
7,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-08-13,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.137501133947311,7,2
8,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-08-14,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.1397761015014258,8,2
9,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-08-15,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.1361361013441722,9,2
10,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-08-16,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.1502411778899224,10,2
11,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-08-17,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.1497861670222096,11,2
12,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-08-19,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.1711711570980172,13,4
13,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-08-20,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.1629811350480848,14,4
14,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-08-21,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.1661661243376253,15,4
15,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-08-22,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.1870961903301696,16,4
16,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-08-23,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.1993812234050683,17,4
17,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-08-25,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.2052961911164366,19,4
18,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-08-26,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.202111201826896,20,4
19,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-08-27,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.2025662126946088,21,4
20,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-08-28,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.221221224348589,22,4
21,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-08-29,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.1898261687519973,23,6
22,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-08-30,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.1743561463875578,24,6
23,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-08-31,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.1848212227760546,25,6
24,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-09-01,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.162526124180372,26,6
25,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-09-02,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.1711711570980172,27,6
26,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-09-04,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.167076146073051,29,6
27,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-09-05,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.178451157412524,30,6
28,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-09-06,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.14205115583999,31,6
29,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-09-07,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.167076146073051,32,6
30,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-09-08,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.148876145286784,33,6
31,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-09-09,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.1570661673367164,34,6
32,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-09-10,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.1470561018159326,35,6
33,1208c089-8b8e-4a87-98f0-05a68fb18370,2018-09-11,IBL_13,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.1529711563117502,36,6
34,37c8f897-cbcc-4743-bad6-764ccbbfb190,2018-08-06,IBL_14,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.9883027793003732,0,1
35,37c8f897-cbcc-4743-bad6-764ccbbfb190,2018-08-07,IBL_14,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.9940410740941509,1,1
36,37c8f897-cbcc-4743-bad6-764ccbbfb190,2018-08-08,IBL_14,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0024276831141832,2,1
37,37c8f897-cbcc-4743-bad6-764ccbbfb190,2018-08-09,IBL_14,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0207459756290769,3,1
38,37c8f897-cbcc-4743-bad6-764ccbbfb190,2018-08-10,IBL_14,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.9944824878622159,4,1
39,37c8f897-cbcc-4743-bad6-764ccbbfb190,2018-08-12,IBL_14,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.1035091628422453,6,2
40,37c8f897-cbcc-4743-bad6-764ccbbfb190,2018-08-13,IBL_14,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.1476495293559352,7,2
41,37c8f897-cbcc-4743-bad6-764ccbbfb190,2018-08-14,IBL_14,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.1423526483302227,8,2
42,37c8f897-cbcc-4743-bad6-764ccbbfb190,2018-08-15,IBL_14,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.1379386790317079,9,2
43,37c8f897-cbcc-4743-bad6-764ccbbfb190,2018-08-16,IBL_14,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.1489737706601302,10,2
44,37c8f897-cbcc-4743-bad6-764ccbbfb190,2018-08-17,IBL_14,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.16971971261278,11,2
45,37c8f897-cbcc-4743-bad6-764ccbbfb190,2018-08-19,IBL_14,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.1635400882420053,13,4
46,37c8f897-cbcc-4743-bad6-764ccbbfb190,2018-08-20,IBL_14,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.1635400882420053,14,4
47,37c8f897-cbcc-4743-bad6-764ccbbfb190,2018-08-21,IBL_14,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.14632528805174,15,4
48,37c8f897-cbcc-4743-bad6-764ccbbfb190,2018-08-22,IBL_14,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.1750165936384926,16,4
49,37c8f897-cbcc-4743-bad6-764ccbbfb190,2018-08-23,IBL_14,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.1869344286119774,17,4
50,37c8f897-cbcc-4743-bad6-764ccbbfb190,2018-08-25,IBL_14,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.190907068333495,19,4
51,37c8f897-cbcc-4743-bad6-764ccbbfb190,2018-08-26,IBL_14,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.1895829112203675,20,4
52,37c8f897-cbcc-4743-bad6-764ccbbfb190,2018-08-27,IBL_14,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.19311413717382,21,4
53,37c8f897-cbcc-4743-bad6-764ccbbfb190,2018-08-28,IBL_14,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.2010593324257874,22,4
