,subject_uuid,session_date,subject_nickname,sex,subject_birth_date,ear_mark,subject_line,subject_source,protocol_number,subject_description,subject_ts,subject_strain,avg_weight,session_day,condition
26,034c07c5-69b0-48c7-ab3e-e491e4dbb725,2018-09-24,IBL_25,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0248926691348015,46,5
27,034c07c5-69b0-48c7-ab3e-e491e4dbb725,2018-08-16,IBL_25,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.9914163266335483,7,1
28,034c07c5-69b0-48c7-ab3e-e491e4dbb725,2018-08-26,IBL_25,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.9999999685152091,17,6
29,034c07c5-69b0-48c7-ab3e-e491e4dbb725,2018-09-04,IBL_25,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.995708188504607,26,6
30,034c07c5-69b0-48c7-ab3e-e491e4dbb725,2018-09-13,IBL_25,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.9699570991387115,35,6
31,034c07c5-69b0-48c7-ab3e-e491e4dbb725,2018-09-25,IBL_25,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0467810910027897,47,5
32,034c07c5-69b0-48c7-ab3e-e491e4dbb725,2018-08-09,IBL_25,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0429184235048825,0,1
33,034c07c5-69b0-48c7-ab3e-e491e4dbb725,2018-08-17,IBL_25,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.982832602891431,8,1
34,034c07c5-69b0-48c7-ab3e-e491e4dbb725,2018-08-27,IBL_25,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.9699570991387115,18,6
35,034c07c5-69b0-48c7-ab3e-e491e4dbb725,2018-09-05,IBL_25,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0171674159994437,27,6
36,034c07c5-69b0-48c7-ab3e-e491e4dbb725,2018-09-14,IBL_25,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.9991416616293626,36,6
37,034c07c5-69b0-48c7-ab3e-e491e4dbb725,2018-09-26,IBL_25,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0214591960100459,48,5
38,034c07c5-69b0-48c7-ab3e-e491e4dbb725,2018-08-10,IBL_25,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0257510578811044,1,1
39,034c07c5-69b0-48c7-ab3e-e491e4dbb725,2018-08-19,IBL_25,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.9699570991387115,10,1
40,034c07c5-69b0-48c7-ab3e-e491e4dbb725,2018-08-28,IBL_25,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0085836922573264,19,6
